Name,Team,Number,Position,Age,Height,Weight,College,Salary
Avery Bradley,Boston Celtics,0,PG,25,2-Jun,180,Texas,7730337
Jae Crowder,Boston Celtics,99,SF,25,6-Jun,235,Marquette,6796117
R.J. Hunter,Boston Celtics,28,SG,22,5-Jun,185,Georgia State,1148640
Jonas Jerebko,Boston Celtics,8,PF,29,10-Jun,231,,5000000
Amir Johnson,Boston Celtics,90,PF,29,9-Jun,240,,12000000
Jordan Mickey,Boston Celtics,55,PF,21,8-Jun,235,LSU,1170960
Kelly Olynyk,Boston Celtics,41,C,25,Jul-00,238,Gonzaga,2165160
Terry Rozier,Boston Celtics,12,PG,22,2-Jun,190,Louisville,1824360
Marcus Smart,Boston Celtics,36,PG,22,4-Jun,220,Oklahoma State,3431040
Jared Sullinger,Boston Celtics,7,C,24,9-Jun,260,Ohio State,2569260
Isaiah Thomas,Boston Celtics,4,PG,27,9-May,185,Washington,6912869
Evan Turner,Boston Celtics,11,SG,27,7-Jun,220,Ohio State,3425510
James Young,Boston Celtics,13,SG,20,6-Jun,215,Kentucky,1749840
Tyler Zeller,Boston Celtics,44,C,26,Jul-00,253,North Carolina,2616975
Bojan Bogdanovic,Brooklyn Nets,44,SG,27,8-Jun,216,,3425510
Markel Brown,Brooklyn Nets,22,SG,24,3-Jun,190,Oklahoma State,845059
Wayne Ellington,Brooklyn Nets,21,SG,28,4-Jun,200,North Carolina,1500000
Rondae Hollis-Jefferson,Brooklyn Nets,24,SG,21,7-Jun,220,Arizona,1335480
Jarrett Jack,Brooklyn Nets,2,PG,32,3-Jun,200,Georgia Tech,6300000
Sergey Karasev,Brooklyn Nets,10,SG,22,7-Jun,208,,1599840
Sean Kilpatrick,Brooklyn Nets,6,SG,26,4-Jun,219,Cincinnati,134215
Shane Larkin,Brooklyn Nets,0,PG,23,11-May,175,Miami (FL),1500000
Brook Lopez,Brooklyn Nets,11,C,28,Jul-00,275,Stanford,19689000
Chris McCullough,Brooklyn Nets,1,PF,21,11-Jun,200,Syracuse,1140240
Willie Reed,Brooklyn Nets,33,PF,26,10-Jun,220,Saint Louis,947276
Thomas Robinson,Brooklyn Nets,41,PF,25,10-Jun,237,Kansas,981348
Henry Sims,Brooklyn Nets,14,C,26,10-Jun,248,Georgetown,947276
Donald Sloan,Brooklyn Nets,15,PG,28,3-Jun,205,Texas A&M,947276
Thaddeus Young,Brooklyn Nets,30,PF,27,8-Jun,221,Georgia Tech,11235955
Arron Afflalo,New York Knicks,4,SG,30,5-Jun,210,UCLA,8000000
Lou Amundson,New York Knicks,17,PF,33,9-Jun,220,UNLV,1635476
Thanasis Antetokounmpo,New York Knicks,43,SF,23,7-Jun,205,,30888
Carmelo Anthony,New York Knicks,7,SF,32,8-Jun,240,Syracuse,22875000
Jose Calderon,New York Knicks,3,PG,34,3-Jun,200,,7402812
Cleanthony Early,New York Knicks,11,SF,25,8-Jun,210,Wichita State,845059
Langston Galloway,New York Knicks,2,SG,24,2-Jun,200,Saint Joseph's,845059
Jerian Grant,New York Knicks,13,PG,23,4-Jun,195,Notre Dame,1572360
Robin Lopez,New York Knicks,8,C,28,Jul-00,255,Stanford,12650000
Kyle O'Quinn,New York Knicks,9,PF,26,10-Jun,250,Norfolk State,3750000
Kristaps Porzingis,New York Knicks,6,PF,20,3-Jul,240,,4131720
Kevin Seraphin,New York Knicks,1,C,26,10-Jun,278,,2814000
Lance Thomas,New York Knicks,42,SF,28,8-Jun,235,Duke,1636842
Sasha Vujacic,New York Knicks,18,SG,32,7-Jun,195,,947276
Derrick Williams,New York Knicks,23,PF,25,8-Jun,240,Arizona,4000000
Tony Wroten,New York Knicks,5,SG,23,6-Jun,205,Washington,167406
Isaiah Canaan,Philadelphia 76ers,0,PG,25,Jun-00,201,Murray State,947276
Robert Covington,Philadelphia 76ers,33,SF,25,9-Jun,215,Tennessee State,1000000
Joel Embiid,Philadelphia 76ers,21,C,22,Jul-00,250,Kansas,4626960
Jerami Grant,Philadelphia 76ers,39,SF,22,8-Jun,210,Syracuse,845059
Richaun Holmes,Philadelphia 76ers,22,PF,22,10-Jun,245,Bowling Green,1074169
Carl Landry,Philadelphia 76ers,7,PF,32,9-Jun,248,Purdue,6500000
Kendall Marshall,Philadelphia 76ers,5,PG,24,4-Jun,200,North Carolina,2144772
T.J. McConnell,Philadelphia 76ers,12,PG,24,2-Jun,200,Arizona,525093
Nerlens Noel,Philadelphia 76ers,4,PF,22,11-Jun,228,Kentucky,3457800
Jahlil Okafor,Philadelphia 76ers,8,C,20,11-Jun,275,Duke,4582680
Ish Smith,Philadelphia 76ers,1,PG,27,Jun-00,175,Wake Forest,947276
Nik Stauskas,Philadelphia 76ers,11,SG,22,6-Jun,205,Michigan,2869440
Hollis Thompson,Philadelphia 76ers,31,SG,25,8-Jun,206,Georgetown,947276
Christian Wood,Philadelphia 76ers,35,PF,20,11-Jun,220,UNLV,525093
Bismack Biyombo,Toronto Raptors,8,C,23,9-Jun,245,,2814000
Bruno Caboclo,Toronto Raptors,20,SF,20,9-Jun,205,,1524000
DeMarre Carroll,Toronto Raptors,5,SF,29,8-Jun,212,Missouri,13600000
DeMar DeRozan,Toronto Raptors,10,SG,26,7-Jun,220,USC,10050000
James Johnson,Toronto Raptors,3,PF,29,9-Jun,250,Wake Forest,2500000
Cory Joseph,Toronto Raptors,6,PG,24,3-Jun,190,Texas,7000000
Kyle Lowry,Toronto Raptors,7,PG,30,Jun-00,205,Villanova,12000000
Lucas Nogueira,Toronto Raptors,92,C,23,Jul-00,220,,1842000
Patrick Patterson,Toronto Raptors,54,PF,27,9-Jun,235,Kentucky,6268675
Norman Powell,Toronto Raptors,24,SG,23,4-Jun,215,UCLA,650000
Terrence Ross,Toronto Raptors,31,SF,25,7-Jun,195,Washington,3553917
Luis Scola,Toronto Raptors,4,PF,36,9-Jun,240,,2900000
Jason Thompson,Toronto Raptors,1,PF,29,11-Jun,250,Rider,245177
Jonas Valanciunas,Toronto Raptors,17,C,24,Jul-00,255,,4660482
Delon Wright,Toronto Raptors,55,PG,24,5-Jun,190,Utah,1509360
